iter	Passed	Remaining
0	4	468
1	9	461
2	10	333
3	15	361
4	17	332
5	21	343
6	26	352
7	31	360
8	35	363
9	40	364
10	45	364
11	49	365
12	50	337
13	55	338
14	59	338
15	60	318
16	65	318
17	69	318
18	72	308
19	76	307
20	81	306
21	85	304
22	88	295
23	88	281
24	93	279
25	93	267
26	94	256
27	96	247
28	100	246
29	105	245
30	105	235
31	110	234
32	114	233
33	119	232
34	124	230
35	128	229
36	133	227
37	134	218
38	138	217
39	143	215
40	148	213
41	152	211
42	157	208
43	162	206
44	162	199
45	163	191
46	167	189
47	172	187
48	177	184
49	182	182
50	184	177
51	189	174
52	193	172
53	196	167
54	197	161
55	201	158
56	204	154
57	209	151
58	214	148
59	215	143
60	220	140
61	224	137
62	229	134
63	234	132
64	236	127
65	240	124
66	246	121
67	250	118
68	255	114
69	260	111
70	261	106
71	266	103
72	270	100
73	271	95
74	275	91
75	276	87
76	280	83
77	285	80
78	290	77
79	291	72
80	295	69
81	300	65
82	305	62
83	305	58
84	310	54
85	315	51
86	320	47
87	324	44
88	327	40
89	331	36
90	336	33
91	340	29
92	345	25
93	346	22
94	347	18
95	349	14
96	353	10
97	354	7
98	359	3
99	363	0
