Dataset,CV_AUC
Dataset_1,0.8040739299460228
Dataset_10,0.7714880071851224
Dataset_11,0.6062500000000001
Dataset_12,0.9684255684255684
Dataset_13,0.909560723514212
Dataset_14,1.0
Dataset_15,0.7572496334544527
Dataset_16,1.0
Dataset_17,0.9527986633249791
Dataset_18,0.995549621717846
Dataset_19,0.9931495772075483
Dataset_2,1.0
Dataset_20,0.9339536807278743
Dataset_21,0.952034465714756
Dataset_22,0.8956275720164609
Dataset_23,0.9604623011933912
Dataset_24,0.5526550105229076
Dataset_25,0.9795258620689654
Dataset_26,0.8615857826384143
Dataset_27,0.9987266553480475
Dataset_28,0.8436788688186313
Dataset_29,0.9341886887029126
Dataset_3,0.7651515151515151
Dataset_30,0.7802080770674987
Dataset_31,0.7117167919799497
Dataset_32,0.777238529227919
Dataset_33,0.9993333333333334
Dataset_34,0.8587836329128056
Dataset_35,0.8401013277428371
Dataset_36,0.9953703703703703
Dataset_37,0.893347840928486
Dataset_38,0.7435302708158837
Dataset_39,0.9969352363787484
Dataset_4,0.6276177411979881
Dataset_40,0.8401013277428371
Dataset_41,0.9829282407407408
Dataset_42,0.9916666666666667
Dataset_43,0.777238529227919
Dataset_44,0.9841269841269842
Dataset_45,1.0
Dataset_46,0.8920864964343225
Dataset_47,0.7747563352826511
Dataset_48,1.0
Dataset_49,0.9777512505464804
Dataset_5,0.926921263554927
Dataset_6,0.9962700702275841
Dataset_7,0.9894859813084111
Dataset_8,0.8925117672229353
Dataset_9,0.8580515297906602
