iter	MAE
0	239.6272502
1	232.1976884
2	222.9194532
3	215.5385257
4	207.2349402
5	197.7796177
6	189.0835535
7	180.3682015
8	172.219327
9	164.4929844
10	156.8446965
11	150.0082989
12	143.5343454
13	137.0752732
14	130.8841178
15	125.2359917
16	119.8878324
17	114.8509584
18	110.1578183
19	105.7189786
20	101.3477149
21	97.48554544
22	93.60142347
23	90.10776701
24	86.66483123
25	83.4756349
26	80.38555222
27	77.68451926
28	75.13473033
29	72.50722868
30	70.32990922
31	68.21611296
32	65.99509494
33	63.88958101
34	62.09905593
35	60.37555716
36	58.81619791
37	57.15188849
38	55.74722169
39	54.24556043
40	53.01560918
41	51.6745464
42	50.44789437
43	49.37714127
44	48.43947024
45	47.49182671
46	46.63114094
47	45.8224966
48	44.89564132
49	44.03229719
50	43.35979957
51	42.68163256
52	42.08974698
53	41.4790077
54	40.78989682
55	40.15623408
56	39.67489914
57	39.11489186
58	38.72201247
59	38.27324587
60	37.77013461
61	37.38415898
62	37.03840286
63	36.68401079
64	36.27560925
65	36.01621191
66	35.74413609
67	35.47933991
68	35.19402453
69	34.9529565
70	34.66625865
71	34.45850388
72	34.25260526
73	34.06992755
74	33.82058449
75	33.68000779
76	33.43789212
77	33.26721981
78	33.12468372
79	32.9664195
80	32.84271295
81	32.70249346
82	32.60036531
83	32.50518605
84	32.39971012
85	32.27434419
86	32.16954747
87	32.07335781
88	31.9963498
89	31.90773151
90	31.80017812
91	31.72413402
92	31.63572891
93	31.58197535
94	31.49463149
95	31.44349409
96	31.28776289
97	31.16780915
98	31.10044636
99	31.03609096
100	30.97880859
101	30.91914321
102	30.84514311
103	30.77669654
104	30.74136833
105	30.68698402
106	30.63636897
107	30.58944582
108	30.53659561
109	30.47873523
110	30.43317306
111	30.39054271
112	30.36870462
113	30.30456672
114	30.29050745
115	30.25396951
116	30.2189952
117	30.20336207
118	30.18955565
119	30.14666685
120	30.1147719
121	30.09358047
122	30.0869872
123	30.04159202
124	30.04131424
125	30.00671612
126	29.97482981
127	29.97455754
128	29.9450841
129	29.94485225
130	29.91770659
131	29.88208703
132	29.84914526
133	29.84895675
134	29.84880701
135	29.82702185
136	29.82687442
137	29.82670783
138	29.82650621
139	29.82634605
140	29.82366764
141	29.79459509
142	29.77661346
143	29.77648934
144	29.77603254
145	29.7651863
146	29.764894
147	29.76446635
148	29.73874528
149	29.7386416
150	29.738576
151	29.73851402
152	29.70582937
153	29.67966108
154	29.65592382
155	29.64491067
156	29.62281709
157	29.62277149
158	29.60717291
159	29.60600899
160	29.60596327
161	29.60592532
162	29.59609397
163	29.57068904
164	29.57065132
165	29.56165041
166	29.55725694
167	29.55722327
168	29.55608609
169	29.55165996
170	29.53775181
171	29.5377005
172	29.52976107
173	29.52030025
174	29.52027917
175	29.51111063
176	29.4914696
177	29.49044403
178	29.49041026
179	29.49020985
180	29.4835049
181	29.47539567
182	29.45611334
183	29.43809368
184	29.41454509
185	29.38041486
186	29.36821338
187	29.33563794
188	29.31990259
189	29.31953284
190	29.3047512
191	29.28350558
192	29.2498422
193	29.24948713
194	29.22719733
195	29.20519897
196	29.20487395
197	29.18680935
198	29.16791403
199	29.13862871
200	29.13849368
201	29.13842818
202	29.13801503
203	29.13800559
204	29.13416103
205	29.11380805
206	29.05465052
207	29.05431225
208	29.04019536
209	29.04000434
210	29.00873742
211	28.9712277
212	28.97093513
213	28.97084573
214	28.97065957
215	28.96004584
216	28.94397306
217	28.93298772
218	28.92064342
219	28.90918496
220	28.89826983
221	28.89374249
222	28.88871659
223	28.8887072
224	28.88864892
225	28.87869425
226	28.87513829
227	28.87505372
228	28.85852315
229	28.85845852
230	28.84998444
231	28.84987565
232	28.84938464
233	28.84909754
234	28.84893019
235	28.83770025
236	28.83769589
237	28.83391192
238	28.83381726
239	28.83372462
240	28.83354861
241	28.83334733
242	28.82300545
243	28.82298736
244	28.74610566
245	28.74588624
246	28.72443212
247	28.71812498
248	28.71226542
249	28.63336157
250	28.62783935
251	28.6228357
252	28.62263461
253	28.5279471
254	28.51676334
255	28.50896678
256	28.44013882
257	28.37338413
258	28.31373145
259	28.30982236
260	28.28414495
261	28.27769003
262	28.22291737
263	28.21939245
264	28.14503659
265	28.08453787
266	28.04069398
267	28.03969611
268	28.03111225
269	28.03081296
270	28.03023886
271	28.02653122
272	28.01434838
273	27.96555647
274	27.93006252
275	27.91965714
276	27.91833847
277	27.91758563
278	27.90862886
279	27.89865744
280	27.86602283
281	27.81433052
282	27.80518916
283	27.80311722
284	27.72512204
285	27.72441483
286	27.72369703
287	27.7231924
288	27.71167505
289	27.7049672
290	27.66051749
291	27.63369305
292	27.60081304
293	27.56484598
294	27.55851662
295	27.55632905
296	27.51646307
297	27.51453855
298	27.51328213
299	27.48309488
300	27.48262327
301	27.46090966
302	27.43526341
303	27.43438421
304	27.42969154
305	27.42916385
306	27.42888075
307	27.42451544
308	27.42406017
309	27.42361995
310	27.42278912
311	27.4222532
312	27.42177767
313	27.4213687
314	27.39469476
315	27.39424886
316	27.35783557
317	27.32824508
318	27.32821527
319	27.32816641
320	27.32804584
321	27.29208007
322	27.2920235
323	27.27929841
324	27.24450832
325	27.24406286
326	27.23838621
327	27.23806634
328	27.23775915
329	27.2372586
330	27.23716352
331	27.23711207
332	27.23705439
333	27.23671145
334	27.23643507
335	27.23639713
336	27.21128241
337	27.21123034
338	27.20716566
339	27.17588576
340	27.17197907
341	27.17157555
342	27.17150609
343	27.17127177
344	27.17123922
345	27.17021311
346	27.15679039
347	27.13408978
348	27.13402383
349	27.13268136
350	27.1326069
351	27.13230242
352	27.13227088
353	27.13217688
354	27.13212569
355	27.13209961
356	27.13207103
357	27.13099249
358	27.13096083
359	27.13072962
360	27.12967297
361	27.12962738
