序號,答案
20240901090000,250.32
20240901091000,232.54
20240901092000,216.01
20240901093000,200.54
20240901094000,186.19
20240901095000,173.13
20240901100000,161.55
20240901101000,151.61
20240901102000,143.46
20240901103000,137.28
20240901104000,133.24
20240901105000,131.53
20240901110000,132.36
20240901111000,135.84
20240901112000,141.92
20240901113000,150.49
20240901114000,161.29
20240901115000,173.97
20240901120000,188.06
20240901121000,202.99
20240901122000,218.14
20240901123000,232.87
20240901124000,246.56
20240901125000,258.68
20240901130000,268.83
20240901131000,276.75
20240901132000,282.33
20240901133000,285.61
20240901134000,286.74
20240901135000,285.97
20240901140000,283.56
20240901141000,279.85
20240901142000,275.16
20240901143000,269.79
20240901144000,264.06
20240901145000,258.24
20240901150000,252.59
20240901151000,247.32
20240901152000,242.63
20240901153000,238.68
20240901154000,235.59
20240901155000,233.44
20240901160000,232.29
20240901161000,232.14
20240901162000,232.96
20240901163000,234.67
20240901164000,237.19
20240901165000,240.36
20240902090000,250.32
20240902091000,232.54
20240902092000,216.01
20240902093000,200.54
20240902094000,186.19
20240902095000,173.13
20240902100000,161.55
20240902101000,151.61
20240902102000,143.46
20240902103000,137.28
20240902104000,133.24
20240902105000,131.53
20240902110000,132.36
20240902111000,135.84
20240902112000,141.92
20240902113000,150.49
20240902114000,161.29
20240902115000,173.97
20240902120000,188.06
20240902121000,202.99
20240902122000,218.14
20240902123000,232.87
20240902124000,246.56
20240902125000,258.68
20240902130000,268.83
20240902131000,276.75
20240902132000,282.33
20240902133000,285.61
20240902134000,286.74
20240902135000,285.97
20240902140000,283.56
20240902141000,279.85
20240902142000,275.16
20240902143000,269.79
20240902144000,264.06
20240902145000,258.24
20240902150000,252.59
20240902151000,247.32
20240902152000,242.63
20240902153000,238.68
20240902154000,235.59
20240902155000,233.44
20240902160000,232.29
20240902161000,232.14
20240902162000,232.96
20240902163000,234.67
20240902164000,237.19
20240902165000,240.36
20240903090000,250.32
20240903091000,232.54
20240903092000,216.01
20240903093000,200.54
20240903094000,186.19
20240903095000,173.13
20240903100000,161.55
20240903101000,151.61
20240903102000,143.46
20240903103000,137.28
20240903104000,133.24
20240903105000,131.53
20240903110000,132.36
20240903111000,135.84
20240903112000,141.92
20240903113000,150.49
20240903114000,161.29
20240903115000,173.97
20240903120000,188.06
20240903121000,202.99
20240903122000,218.14
20240903123000,232.87
20240903124000,246.56
20240903125000,258.68
20240903130000,268.83
20240903131000,276.75
20240903132000,282.33
20240903133000,285.61
20240903134000,286.74
20240903135000,285.97
20240903140000,283.56
20240903141000,279.85
20240903142000,275.16
20240903143000,269.79
20240903144000,264.06
20240903145000,258.24
20240903150000,252.59
20240903151000,247.32
20240903152000,242.63
20240903153000,238.68
20240903154000,235.59
20240903155000,233.44
20240903160000,232.29
20240903161000,232.14
20240903162000,232.96
20240903163000,234.67
20240903164000,237.19
20240903165000,240.36
20240904090000,250.32
20240904091000,232.54
20240904092000,216.01
20240904093000,200.54
20240904094000,186.19
20240904095000,173.13
20240904100000,161.55
20240904101000,151.61
20240904102000,143.46
20240904103000,137.28
20240904104000,133.24
20240904105000,131.53
20240904110000,132.36
20240904111000,135.84
20240904112000,141.92
20240904113000,150.49
20240904114000,161.29
20240904115000,173.97
20240904120000,188.06
20240904121000,202.99
20240904122000,218.14
20240904123000,232.87
20240904124000,246.56
20240904125000,258.68
20240904130000,268.83
20240904131000,276.75
20240904132000,282.33
20240904133000,285.61
20240904134000,286.74
20240904135000,285.97
20240904140000,283.56
20240904141000,279.85
20240904142000,275.16
20240904143000,269.79
20240904144000,264.06
20240904145000,258.24
20240904150000,252.59
20240904151000,247.32
20240904152000,242.63
20240904153000,238.68
20240904154000,235.59
20240904155000,233.44
20240904160000,232.29
20240904161000,232.14
20240904162000,232.96
20240904163000,234.67
20240904164000,237.19
20240904165000,240.36
20240905090000,250.32
20240905091000,232.54
20240905092000,216.01
20240905093000,200.54
20240905094000,186.19
20240905095000,173.13
20240905100000,161.55
20240905101000,151.61
20240905102000,143.46
20240905103000,137.28
20240905104000,133.24
20240905105000,131.53
20240905110000,132.36
20240905111000,135.84
20240905112000,141.92
20240905113000,150.49
20240905114000,161.29
20240905115000,173.97
20240905120000,188.06
20240905121000,202.99
20240905122000,218.14
20240905123000,232.87
20240905124000,246.56
20240905125000,258.68
20240905130000,268.83
20240905131000,276.75
20240905132000,282.33
20240905133000,285.61
20240905134000,286.74
20240905135000,285.97
20240905140000,283.56
20240905141000,279.85
20240905142000,275.16
20240905143000,269.79
20240905144000,264.06
20240905145000,258.24
20240905150000,252.59
20240905151000,247.32
20240905152000,242.63
20240905153000,238.68
20240905154000,235.59
20240905155000,233.44
20240905160000,232.29
20240905161000,232.14
20240905162000,232.96
20240905163000,234.67
20240905164000,237.19
20240905165000,240.36
20240906090000,250.32
20240906091000,232.54
20240906092000,216.01
20240906093000,200.54
20240906094000,186.19
20240906095000,173.13
20240906100000,161.55
20240906101000,151.61
20240906102000,143.46
20240906103000,137.28
20240906104000,133.24
20240906105000,131.53
20240906110000,132.36
20240906111000,135.84
20240906112000,141.92
20240906113000,150.49
20240906114000,161.29
20240906115000,173.97
20240906120000,188.06
20240906121000,202.99
20240906122000,218.14
20240906123000,232.87
20240906124000,246.56
20240906125000,258.68
20240906130000,268.83
20240906131000,276.75
20240906132000,282.33
20240906133000,285.61
20240906134000,286.74
20240906135000,285.97
20240906140000,283.56
20240906141000,279.85
20240906142000,275.16
20240906143000,269.79
20240906144000,264.06
20240906145000,258.24
20240906150000,252.59
20240906151000,247.32
20240906152000,242.63
20240906153000,238.68
20240906154000,235.59
20240906155000,233.44
20240906160000,232.29
20240906161000,232.14
20240906162000,232.96
20240906163000,234.67
20240906164000,237.19
20240906165000,240.36
20240907090000,250.32
20240907091000,232.54
20240907092000,216.01
20240907093000,200.54
20240907094000,186.19
20240907095000,173.13
20240907100000,161.55
20240907101000,151.61
20240907102000,143.46
20240907103000,137.28
20240907104000,133.24
20240907105000,131.53
20240907110000,132.36
20240907111000,135.84
20240907112000,141.92
20240907113000,150.49
20240907114000,161.29
20240907115000,173.97
20240907120000,188.06
20240907121000,202.99
20240907122000,218.14
20240907123000,232.87
20240907124000,246.56
20240907125000,258.68
20240907130000,268.83
20240907131000,276.75
20240907132000,282.33
20240907133000,285.61
20240907134000,286.74
20240907135000,285.97
20240907140000,283.56
20240907141000,279.85
20240907142000,275.16
20240907143000,269.79
20240907144000,264.06
20240907145000,258.24
20240907150000,252.59
20240907151000,247.32
20240907152000,242.63
20240907153000,238.68
20240907154000,235.59
20240907155000,233.44
20240907160000,232.29
20240907161000,232.14
20240907162000,232.96
20240907163000,234.67
20240907164000,237.19
20240907165000,240.36
20240908090000,250.32
20240908091000,232.54
20240908092000,216.01
20240908093000,200.54
20240908094000,186.19
20240908095000,173.13
20240908100000,161.55
20240908101000,151.61
20240908102000,143.46
20240908103000,137.28
20240908104000,133.24
20240908105000,131.53
20240908110000,132.36
20240908111000,135.84
20240908112000,141.92
20240908113000,150.49
20240908114000,161.29
20240908115000,173.97
20240908120000,188.06
20240908121000,202.99
20240908122000,218.14
20240908123000,232.87
20240908124000,246.56
20240908125000,258.68
20240908130000,268.83
20240908131000,276.75
20240908132000,282.33
20240908133000,285.61
20240908134000,286.74
20240908135000,285.97
20240908140000,283.56
20240908141000,279.85
20240908142000,275.16
20240908143000,269.79
20240908144000,264.06
20240908145000,258.24
20240908150000,252.59
20240908151000,247.32
20240908152000,242.63
20240908153000,238.68
20240908154000,235.59
20240908155000,233.44
20240908160000,232.29
20240908161000,232.14
20240908162000,232.96
20240908163000,234.67
20240908164000,237.19
20240908165000,240.36
20240909090000,250.32
20240909091000,232.54
20240909092000,216.01
20240909093000,200.54
20240909094000,186.19
20240909095000,173.13
20240909100000,161.55
20240909101000,151.61
20240909102000,143.46
20240909103000,137.28
20240909104000,133.24
20240909105000,131.53
20240909110000,132.36
20240909111000,135.84
20240909112000,141.92
20240909113000,150.49
20240909114000,161.29
20240909115000,173.97
20240909120000,188.06
20240909121000,202.99
20240909122000,218.14
20240909123000,232.87
20240909124000,246.56
20240909125000,258.68
20240909130000,268.83
20240909131000,276.75
20240909132000,282.33
20240909133000,285.61
20240909134000,286.74
20240909135000,285.97
20240909140000,283.56
20240909141000,279.85
20240909142000,275.16
20240909143000,269.79
20240909144000,264.06
20240909145000,258.24
20240909150000,252.59
20240909151000,247.32
20240909152000,242.63
20240909153000,238.68
20240909154000,235.59
20240909155000,233.44
20240909160000,232.29
20240909161000,232.14
20240909162000,232.96
20240909163000,234.67
20240909164000,237.19
20240909165000,240.36
20240910090000,250.32
20240910091000,232.54
20240910092000,216.01
20240910093000,200.54
20240910094000,186.19
20240910095000,173.13
20240910100000,161.55
20240910101000,151.61
20240910102000,143.46
20240910103000,137.28
20240910104000,133.24
20240910105000,131.53
20240910110000,132.36
20240910111000,135.84
20240910112000,141.92
20240910113000,150.49
20240910114000,161.29
20240910115000,173.97
20240910120000,188.06
20240910121000,202.99
20240910122000,218.14
20240910123000,232.87
20240910124000,246.56
20240910125000,258.68
20240910130000,268.83
20240910131000,276.75
20240910132000,282.33
20240910133000,285.61
20240910134000,286.74
20240910135000,285.97
20240910140000,283.56
20240910141000,279.85
20240910142000,275.16
20240910143000,269.79
20240910144000,264.06
20240910145000,258.24
20240910150000,252.59
20240910151000,247.32
20240910152000,242.63
20240910153000,238.68
20240910154000,235.59
20240910155000,233.44
20240910160000,232.29
20240910161000,232.14
20240910162000,232.96
20240910163000,234.67
20240910164000,237.19
20240910165000,240.36
20240911090000,250.32
20240911091000,232.54
20240911092000,216.01
20240911093000,200.54
20240911094000,186.19
20240911095000,173.13
20240911100000,161.55
20240911101000,151.61
20240911102000,143.46
20240911103000,137.28
20240911104000,133.24
20240911105000,131.53
20240911110000,132.36
20240911111000,135.84
20240911112000,141.92
20240911113000,150.49
20240911114000,161.29
20240911115000,173.97
20240911120000,188.06
20240911121000,202.99
20240911122000,218.14
20240911123000,232.87
20240911124000,246.56
20240911125000,258.68
20240911130000,268.83
20240911131000,276.75
20240911132000,282.33
20240911133000,285.61
20240911134000,286.74
20240911135000,285.97
20240911140000,283.56
20240911141000,279.85
20240911142000,275.16
20240911143000,269.79
20240911144000,264.06
20240911145000,258.24
20240911150000,252.59
20240911151000,247.32
20240911152000,242.63
20240911153000,238.68
20240911154000,235.59
20240911155000,233.44
20240911160000,232.29
20240911161000,232.14
20240911162000,232.96
20240911163000,234.67
20240911164000,237.19
