序號,答案
20240117090001,186.5
20240117091001,186.5
20240117092001,186.5
20240117093001,186.5
20240117094001,186.5
20240117095001,186.5
20240117100001,186.5
20240117101001,186.5
20240117102001,186.5
20240117103001,186.5
20240117104001,186.5
20240117105001,186.5
20240117110001,186.5
20240117111001,186.5
20240117112001,186.5
20240117113001,186.5
20240117114001,186.5
20240117115001,186.5
20240117120001,186.5
20240117121001,186.5
20240117122001,186.5
20240117123001,186.5
20240117124001,186.5
20240117125001,186.5
20240117130001,186.5
20240117131001,186.5
20240117132001,186.5
20240117133001,186.5
20240117134001,186.5
20240117135001,186.5
20240117140001,186.5
20240117141001,186.5
20240117142001,186.5
20240117143001,186.5
20240117144001,186.5
20240117145001,186.5
20240117150001,186.5
20240117151001,186.5
20240117152001,186.5
20240117153001,186.5
20240117154001,186.5
20240117155001,186.5
20240117160001,186.5
20240117161001,186.5
20240117162001,186.5
20240117163001,186.5
20240117164001,186.5
20240117165001,186.5
20240119090001,271.42
20240119091001,271.42
20240119092001,271.42
20240119093001,271.42
20240119094001,271.42
20240119095001,271.42
20240119100001,271.42
20240119101001,271.42
20240119102001,271.42
20240119103001,271.42
20240119104001,271.42
20240119105001,271.42
20240119110001,271.42
20240119111001,271.42
20240119112001,271.42
20240119113001,271.42
20240119114001,271.42
20240119115001,271.42
20240119120001,271.42
20240119121001,271.42
20240119122001,271.42
20240119123001,271.42
20240119124001,271.42
20240119125001,271.42
20240119130001,271.42
20240119131001,271.42
20240119132001,271.42
20240119133001,271.42
20240119134001,271.42
20240119135001,271.42
20240119140001,271.42
20240119141001,271.42
20240119142001,271.42
20240119143001,271.42
20240119144001,271.42
20240119145001,271.42
20240119150001,271.42
20240119151001,271.42
20240119152001,271.42
20240119153001,271.42
20240119154001,271.42
20240119155001,271.42
20240119160001,271.42
20240119161001,271.42
20240119162001,271.42
20240119163001,271.42
20240119164001,271.42
20240119165001,271.42
20240224090001,151.6
20240224091001,151.6
20240224092001,151.6
20240224093001,151.6
20240224094001,151.6
20240224095001,151.6
20240224100001,151.6
20240224101001,151.6
20240224102001,151.6
20240224103001,151.6
20240224104001,151.6
20240224105001,151.6
20240224110001,151.6
20240224111001,151.6
20240224112001,151.6
20240224113001,151.6
20240224114001,151.6
20240224115001,151.6
20240224120001,151.6
20240224121001,151.6
20240224122001,151.6
20240224123001,151.6
20240224124001,151.6
20240224125001,151.6
20240224130001,151.6
20240224131001,151.6
20240224132001,151.6
20240224133001,151.6
20240224134001,151.6
20240224135001,151.6
20240224140001,151.6
20240224141001,151.6
20240224142001,151.6
20240224143001,151.6
20240224144001,151.6
20240224145001,151.6
20240224150001,151.6
20240224151001,151.6
20240224152001,151.6
20240224153001,151.6
20240224154001,151.6
20240224155001,151.6
20240224160001,151.6
20240224161001,151.6
