PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Michael Harris II,ATL,2,8,2,5,1,0,1,2,0,1,0,0,.625,.625,1.125,1.750
Jackson Chourio,MIL,3,11,3,5,0,0,2,3,1,1,1,0,.455,.500,1.000,1.500
Fernando Tatis Jr.,SD,7,26,8,11,3,0,4,7,3,2,0,0,.423,.500,1.000,1.500
Cedric Mullins,BAL,2,7,1,3,1,0,1,1,0,1,0,0,.429,.429,1.000,1.429
Bryce Harper,PHI,4,12,3,4,2,0,1,3,5,5,0,0,.333,.529,.750,1.279
Giancarlo Stanton,NYY,5,19,3,7,2,0,2,5,3,2,1,0,.368,.455,.789,1.244
Brice Turang,MIL,3,11,3,5,3,0,0,0,1,1,2,0,.455,.500,.727,1.227
Brayan Rocchio,CLE,6,19,2,8,2,0,1,2,2,4,0,0,.421,.476,.684,1.160
Sal Frelick,MIL,3,11,2,4,1,0,1,1,0,1,0,0,.364,.364,.727,1.091
Jorge Soler,ATL,2,7,1,2,0,0,1,1,1,2,0,0,.286,.375,.714,1.089
Mark Vientos,NYM,9,37,6,14,2,0,3,11,2,13,0,0,.378,.410,.676,1.086
Kyle Higashioka,SD,7,19,3,5,1,0,3,5,1,3,0,0,.263,.273,.789,1.062
Nick Castellanos,PHI,4,17,2,7,1,0,1,3,0,3,0,0,.412,.412,.647,1.059
Juan Soto,NYY,5,17,2,6,1,0,1,3,4,5,0,0,.353,.455,.588,1.043
Steven Kwan,CLE,6,25,6,12,1,0,0,1,2,3,1,0,.480,.519,.520,1.039
Pete Alonso,NYM,9,29,6,7,1,0,3,6,9,10,2,0,.241,.410,.586,.996
Teoscar Hernández,LAD,7,24,4,6,0,0,2,7,6,8,1,0,.250,.400,.500,.900
Francisco Lindor,NYM,9,34,8,8,3,0,2,7,8,8,0,0,.235,.372,.500,.872
Lane Thomas,CLE,6,22,2,6,0,0,2,9,1,5,0,0,.273,.304,.545,.849
Jackson Merrill,SD,7,24,4,6,1,1,1,5,3,6,0,0,.250,.333,.500,.833
Max Muncy,LAD,7,24,4,5,1,0,2,4,3,7,1,0,.208,.321,.500,.821
Gleyber Torres,NYY,5,19,5,4,1,0,1,3,6,3,0,0,.211,.400,.421,.821
Parker Meadows,DET,7,26,3,7,2,0,1,1,3,6,3,1,.269,.345,.462,.807
Yordan Alvarez,HOU,2,7,0,2,1,0,0,0,1,1,0,0,.286,.375,.429,.804
Michael Massey,KC,6,23,1,7,1,1,0,1,2,6,0,0,.304,.360,.435,.795
Mookie Betts,LAD,7,26,6,5,1,0,2,6,5,6,0,0,.192,.323,.462,.785
David Fry,CLE,6,19,3,5,1,0,1,5,1,7,1,0,.263,.300,.474,.774
Alex Bregman,HOU,2,8,0,3,0,0,0,0,0,0,0,0,.375,.375,.375,.750
Gavin Lux,LAD,6,19,4,5,0,0,1,3,2,2,0,0,.263,.318,.421,.739
Ramón Urías,BAL,2,7,0,2,1,0,0,0,0,1,0,0,.286,.286,.429,.715
Jake Rogers,DET,7,22,3,6,1,0,0,2,3,8,0,0,.273,.360,.318,.678
Shohei Ohtani,LAD,7,27,5,6,0,0,1,5,5,12,0,1,.222,.344,.333,.677
Bryson Stott,PHI,4,11,1,2,0,1,0,2,2,4,0,1,.182,.308,.364,.672
Tommy Edman,LAD,7,24,2,8,0,0,0,4,0,2,3,0,.333,.333,.333,.666
Maikel Garcia,KC,6,22,1,7,0,0,0,1,1,5,3,0,.318,.348,.318,.666
Yainer Diaz,HOU,2,7,0,2,0,0,0,1,1,1,0,0,.286,.375,.286,.661
José Ramírez,CLE,6,20,3,3,1,0,1,3,3,3,0,0,.150,.292,.350,.642
Brandon Nimmo,NYM,9,33,6,7,0,0,1,4,5,7,0,0,.212,.333,.303,.636
Spencer Torkelson,DET,7,21,2,4,3,0,0,1,3,11,0,0,.190,.292,.333,.625
Riley Greene,DET,7,26,1,6,1,0,0,1,4,5,0,0,.231,.355,.269,.624
Starling Marte,NYM,9,29,3,7,1,0,0,6,3,8,1,0,.241,.333,.276,.609
Anthony Volpe,NYY,5,15,1,3,0,0,0,1,5,2,1,0,.200,.400,.200,.600
Freddie Freeman,LAD,6,22,1,6,0,0,0,1,1,3,1,0,.273,.304,.273,.577
Kyle Schwarber,PHI,4,16,2,2,0,0,1,1,2,6,0,0,.125,.263,.313,.576
Salvador Perez,KC,6,24,1,5,0,0,1,1,0,7,0,0,.208,.240,.333,.573
Xander Bogaerts,SD,7,24,2,4,1,0,1,4,2,3,0,0,.167,.231,.333,.564
Aaron Judge,NYY,5,15,3,2,1,0,0,1,6,6,1,0,.133,.364,.200,.564
Alex Verdugo,NYY,5,17,3,4,0,0,0,1,2,2,0,0,.235,.316,.235,.551
Victor Caratini,HOU,2,6,1,1,0,0,0,0,0,3,0,0,.167,.375,.167,.542
Jordan Westburg,BAL,2,6,0,1,0,0,0,0,1,1,0,0,.167,.375,.167,.542
Marcell Ozuna,ATL,2,7,0,2,0,0,0,1,0,4,0,0,.286,.250,.286,.536
Yuli Gurriel,KC,6,21,4,4,1,0,0,0,3,1,0,0,.190,.292,.238,.530
Colt Keith,DET,7,18,3,2,1,0,0,1,6,8,0,0,.111,.333,.167,.500
Manny Machado,SD,7,28,4,5,1,0,1,4,0,9,0,0,.179,.179,.321,.500
Trea Turner,PHI,4,15,2,3,0,0,0,0,2,5,2,0,.200,.294,.200,.494
Jurickson Profar,SD,7,25,1,5,0,0,0,1,3,4,0,0,.200,.286,.200,.486
Jose Iglesias,NYM,9,36,3,8,0,0,0,3,2,8,0,0,.222,.263,.222,.485
Jake Cronenworth,SD,7,22,2,3,0,1,0,0,2,9,0,0,.136,.240,.227,.467
Will Smith,LAD,7,23,4,2,0,0,1,2,5,5,1,0,.087,.250,.217,.467
Andrés Giménez,CLE,6,21,3,4,1,0,0,0,0,9,1,0,.190,.227,.238,.465
Jeremy Peña,HOU,2,6,1,1,0,0,0,0,1,3,0,0,.167,.286,.167,.453
Luis Arraez,SD,7,31,4,7,0,0,0,0,0,1,0,0,.226,.226,.226,.452
MJ Melendez,KC,6,20,1,3,0,0,1,2,0,3,0,0,.150,.150,.300,.450
Tyrone Taylor,NYM,9,28,4,4,2,0,0,1,2,8,0,0,.143,.226,.214,.440
Willy Adames,MIL,3,11,1,2,0,0,0,0,1,3,1,0,.182,.250,.182,.432
Matt Vierling,DET,7,28,1,4,1,0,0,2,4,14,0,0,.143,.242,.179,.421
Bobby Witt Jr.,KC,6,26,1,5,0,0,0,2,1,6,0,1,.192,.222,.192,.414
Jazz Chisholm Jr.,NYY,5,19,2,2,0,0,1,1,1,5,1,0,.105,.150,.263,.413
Vinnie Pasquantino,KC,6,23,0,3,1,0,0,2,3,9,0,0,.130,.231,.174,.405
Josh Naylor,CLE,6,24,1,4,1,0,0,1,0,6,0,0,.167,.167,.208,.375
Francisco Alvarez,NYM,9,32,1,5,0,0,0,1,1,10,0,0,.156,.182,.156,.338
